q_id,subset,target_chapter,q_text,gold_chunk_ids,gold_synopsis_id,reference_answer
1,summarisation,2,Summarise Chapter 2 of the Python Tutorial.,"tutorial_edit-chapter-27-eac725afe3,tutorial_edit-chapter-23-eac725afe3,tutorial_edit-synopsis-20-c922f19edf-naive,tutorial_edit-synopsis-20-165a79646c","tutorial_edit-synopsis-20-c922f19edf-naive,tutorial_edit-synopsis-20-165a79646c","Using the Python Interpreter Learn to invoke, configure, and interact with the Python interpreter on various operating systems. This chapter covers starting the interpreter from the command line, setting up the system path, exiting the interpreter, and using its line-editing features. It also explains how to execute scripts and modules, pass arguments, and handle interactive mode."
2,summarisation,3,What does the Informal Introduction chapter teach?,"tutorial_edit-synopsis-23-3fac4f8c17,tutorial_edit-synopsis-23-1eaffa3613-naive","tutorial_edit-synopsis-23-3fac4f8c17,tutorial_edit-synopsis-23-1eaffa3613-naive","n Informal Introduction to Python This chapter provides an introduction to using Python as a calculator, teaching basic commands and operations such as arithmetic calculations, variables assignment, and string manipulation. Prerequisites include familiarity with basic computer concepts and understanding of the Python interpreter prompt."
3,summarisation,4,What concepts does Chapter 4 of the Python Tutorial introduce?,"tutorial_edit-synopsis-28-858d562b51,tutorial_edit-synopsis-28-fa162deff6-naive","tutorial_edit-synopsis-28-858d562b51,tutorial_edit-synopsis-28-fa162deff6-naive","More Control Flow Tools This chapter covers additional control flow tools in Python, including if statements, for statements, the range() function, break and continue statements, pass statements, and defining functions. 4.1 If Statements teach the use of conditional logic using the 'if', 'elif', and 'else' keywords to test conditions and execute corresponding code blocks. 4.2 For Statements demonstrate how to iterate over sequences (lists or strings)"
4,summarisation,5,What topics are covered in the Data Structures chapter?,"tutorial_edit-chapter-98-61558d5393,tutorial_edit-synopsis-38-219ce1b27a-naive,tutorial_edit-synopsis-38-79f993d4e7","tutorial_edit-synopsis-38-219ce1b27a-naive,tutorial_edit-synopsis-38-79f993d4e7","Data Structures Learn to delve deeper into data structures, building upon previously acquired knowledge while also introducing new concepts. This chapter covers the creation, manipulation, and optimization of various data structures such as arrays, linked lists, stacks, queues, trees, and hash tables. Prerequisites include a basic understanding of programming concepts and data types."
5,summarisation,6,Summarise the Modules chapter of the Python Tutorial.,"tutorial_edit-synopsis-47-6b7f374523,tutorial_edit-synopsis-47-dd96efeb87-naive","tutorial_edit-synopsis-47-6b7f374523,tutorial_edit-synopsis-47-dd96efeb87-naive","Modules This chapter teaches how to create and use Python scripts (scripts) and modules, as well as importing them for reuse in other programs. To write longer programs, it is recommended to use a text editor to prepare the input for the interpreter and run it with that file as input instead of repeatedly entering commands in the Python interpreter. "
6,summarisation,7,What does Chapter 7 (Input and Output) cover?,"tutorial_edit-chapter-164-8d845789b9,tutorial_edit-synopsis-52-1d95241b8a-naive,tutorial_edit-chapter-118-8d845789b9,tutorial_edit-synopsis-52-b987d80e04","tutorial_edit-synopsis-52-1d95241b8a-naive,tutorial_edit-synopsis-52-b987d80e04","Input and Output Learn various methods to present a program's output, including displaying data in a user-friendly format and writing it to files for later use. This chapter provides insights into different output presentation techniques. Upon completion, readers will be capable of configuring their programs to output results in multiple formats and storing them for future reference."
7,summarisation,8,What does the Errors and Exceptions chapter teach about exception handling?,"tutorial_edit-synopsis-55-e9b20aaf15,tutorial_edit-synopsis-55-d1c855a156-naive","tutorial_edit-synopsis-55-e9b20aaf15,tutorial_edit-synopsis-55-d1c855a156-naive","Errors and Exceptions This chapter covers the handling of errors and exceptions in Python, providing an understanding of syntax errors and exceptions, along with methods to handle them effectively. Prerequisites include a basic understanding of Python syntax. "
8,summarisation,9,Summarise Chapter 9 (Classes) of the Python Tutorial.,"tutorial_edit-synopsis-63-d3eafcadcb,tutorial_edit-synopsis-63-f1e11ab608-naive,tutorial_edit-chapter-150-de137d43d4,tutorial_edit-chapter-214-df19d7558f","tutorial_edit-synopsis-63-d3eafcadcb,tutorial_edit-synopsis-63-f1e11ab608-naive","Classes This chapter delves into Python's class system, explaining how to create and utilize classes for bundling data and functionality together. Key topics include creating new classes, defining attributes and methods, understanding inheritance mechanisms, and redefining built-in operators for class instances. Prerequisites: Basic understanding of Python programming is assumed."
9,summarisation,10,What is in Chapter 10 (Brief Tour of the Standard Library)?,"tutorial_edit-chapter-268-3727ef8e40,tutorial_edit-chapter-186-3727ef8e40,tutorial_edit-synopsis-76-a2f0acf8f8-naive,tutorial_edit-synopsis-76-a041572cac","tutorial_edit-synopsis-76-a2f0acf8f8-naive,tutorial_edit-synopsis-76-a041572cac","Standard Library Tour This chapter provides an overview of the Standard Library, a fundamental component in the programming language. The reader will learn about various modules and functions within the library, including string manipulation, file handling, and data structures like lists and dictionaries. Prerequisites include basic understanding of the programming language syntax. "
10,summarisation,11,What does Chapter 11 (Brief Tour of the Standard Library Part II) cover?,"tutorial_edit-chapter-287-e1dc17b425,tutorial_edit-chapter-198-e1dc17b425,tutorial_edit-synopsis-86-cb10c02edb,tutorial_edit-synopsis-86-feffaf0026-naive","tutorial_edit-synopsis-86-cb10c02edb,tutorial_edit-synopsis-86-feffaf0026-naive","Advanced Modules of Standard Library (Part II) This chapter provides a detailed exploration of more complex modules in Python's Standard Library, typically used for professional programming needs that rarely appear in small scripts. The covered topics include: 11.1 Output Formatting: - Using reprlib and pprint modules for customized and sophisticated output formatting of large or deeply nested containers. - textwrap module for formatting paragraphs"
11,summarisation,12,Summarise the Virtual Environments and Packages chapter.,"tutorial_edit-chapter-311-419aed48df,tutorial_edit-chapter-214-419aed48df,tutorial_edit-synopsis-96-54649acb99-naive,tutorial_edit-synopsis-96-d2222ceda5","tutorial_edit-synopsis-96-54649acb99-naive,tutorial_edit-synopsis-96-d2222ceda5","Virtual Environments and Packages Learn to create, manage, and utilize virtual environments for isolating Python projects and their dependencies. This chapter covers installing and configuring popular tools like venv, pipenv, and conda. Prerequisites include a basic understanding of the Python programming language."
12,summarisation,15,What does Chapter 15 teach about floating-point arithmetic?,"tutorial_edit-synopsis-105-5339afff82,tutorial_edit-synopsis-105-70f6d0927d-naive,tutorial_edit-chapter-332-737edcbeea,tutorial_edit-chapter-228-737edcbeea","tutorial_edit-synopsis-105-5339afff82,tutorial_edit-synopsis-105-70f6d0927d-naive","Floating Point Arithmetic: Issues and Limitations This chapter delves into the intricacies of floating-point arithmetic, explaining why decimal fractions may not be represented exactly as binary fractions in computer hardware. It discusses the approximation of decimal numbers by binary fractions, using examples such as 0.1, and the implications for summation and rounding operations. "
13,summarisation,16,What does the Appendix chapter cover?,"tutorial_edit-appendix-351-6189464345,tutorial_edit-appendix-242-6189464345,tutorial_edit-chapter-350-1be366cde9,tutorial_edit-chapter-241-1be366cde9,tutorial_edit-synopsis-101-d9e0d77edd",tutorial_edit-synopsis-101-d9e0d77edd,"This chapter, ""What Now?"", serves as a guide for further exploration of Python after completing the tutorial. It introduces various resources to deepen your understanding and application of Python. The Python documentation set includes the library-index for comprehensive reference material about types, functions, and standard library modules. Additionally, installing-index explains how to install additional modules written by other Python users. "
14,summarisation,1,Summarise Chapter 1 (Whetting Your Appetite) of the Python Tutorial.,"tutorial_edit-synopsis-19-111b6e3a4e-naive,tutorial_edit-synopsis-19-111b6e3a4e,tutorial_edit-chapter-19-5ebb4df36e","tutorial_edit-synopsis-19-111b6e3a4e-naive,tutorial_edit-synopsis-19-111b6e3a4e","Whetting Your Appetite introduces Python, a versatile programming language suitable for automating various tasks such as search-and-replace over text files, renaming and rearranging photo files, creating custom databases, GUI applications, games, or test suites. Python is cross-platform (Windows, Mac OS X, Unix) and offers more structure and support than shell scripts or batch files for large programs, while also providing more error checking than C. "
15,summarisation,13,What does Chapter 13 (What Now?) say about further learning resources?,"tutorial_edit-chapter-222-bb1112d506,tutorial_edit-chapter-323-ed0bbe2649,tutorial_edit-synopsis-101-d9e0d77edd",tutorial_edit-synopsis-101-d9e0d77edd,"Reading this tutorial has probably reinforced your interest in using Python — you should be eager to apply Python to solving your real-world problems. Where should you go to learn more? This tutorial is part of Python’s documentation set. Some other documents in the set are: • library-index: You should browse through this manual, which gives complete (though terse) reference material about types, functions, and the modules in the standard library."
16,control,,How do I define a function with default arguments?,"tutorial_edit-section-79-598e099f11,tutorial_edit-section-81-0314028b92",,"4.7 More on Defining Functions It is also possible to define functions with a variable number of arguments. There are three forms, which can be combined. 4.7.1 Default Argument Values The most useful form is to specify a default value for one or more arguments. This creates a function that can be called with fewer arguments than it is defined to allow. "
17,control,,What is the syntax for a list comprehension?,"tutorial_edit-section-106-c3c9ed82cc,tutorial_edit-section-109-35bc586fc5",,"A list comprehension consists of brackets containing an expression followed by a for clause, then zero or more for or if clauses. The result will be a new list resulting from evaluating the expression in the context "
18,control,,How do you raise a custom exception?,"tutorial_edit-section-204-85f6bd8161,tutorial_edit-section-144-64dc7da696,tutorial_edit-section-196-0c671bba5c,tutorial_edit-synopsis-55-e9b20aaf15",,Raising Exceptions The raise statement allows the programmer to force a specified exception to occur.
19,control,,What is the difference between 'is' and '==' in Python?,"tutorial_edit-section-62-428da458c2,tutorial_edit-section-128-9b0c4a8838",,"It is possible to assign the result of a comparison or other Boolean expression to a variable. For example, >>> string1, string2, string3 = '', 'Trondheim', 'Hammer Dance' >>> non_null = string1 or string2 or string3 >>> non_null 'Trondheim' Note that in Python, unlike C, assignment cannot occur inside expressions. C programmers may grumble about this, but it avoids a common class of problems encountered in C programs: typing = in an expression when == was intended."
20,control,,How do you import a specific function from a module?,tutorial_edit-synopsis-47-6b7f374523,,"his chapter teaches how to create and use Python scripts (scripts) and modules, as well as importing them for reuse in other programs. To write longer programs, it is recommended to use a text editor to prepare the input for the interpreter and run it with that file as input instead of repeatedly entering commands in the Python interpreter. To create a module, you need to write Python definitions and statements in a .py file"
21,control,,What does the print function's 'end' parameter do?,"tutorial_edit-section-82-5d46fb026a,tutorial_edit-synopsis-52-1d95241b8a-naive,tutorial_edit-synopsis-52-b987d80e04",,"print(""if you put"", voltage, ""volts through it."") print(""-- Lovely plumage, the"", type) print(""-- It's"", state, ""!"") accepts one required argument (voltage) and three optional arguments (state, action, and type). This function can be called in any of the following ways: parrot(1000) # 1 positional argument parrot(voltage=1000) # 1 keyword argument parrot(voltage=1000000, action='VOOOOOM') # 2 keyword arguments parrot(action='VOOOOOM', voltage=1000000) # 2 keyword arguments parrot"
22,control,,How do you read a file line by line in Python?,"tutorial_edit-section-183-7d3bba9387,tutorial_edit-section-130-8d17d222ca",,"' f.readline() reads a single line from the file; a newline character (\n) is left at the end of the string, and is only omitted on the last line of the file if the file doesn’t end in a newline. This makes the return value unambiguous; if f.readline() returns an empty string, the end of the file has been reached, while a blank line is represented by '\n', a string containing only a single newline. >>> f.readline() 'This is the first line of the file.\n' >>> f.readline() 'Second line of the file"
23,control,,How do you define a method in a Python class?,tutorial_edit-section-245-3c6194b6fa,," find that thisactuallyincreasesthereadabilityofmethods: thereisnochanceofconfusinglocalvariablesandinstance variables when glancing through a method. Often, the first argument of a method is called self. This is nothing more than a convention: the name self has absolutely no special meaning to Python. "
24,control,,What is the syntax for a try/except/finally block?,tutorial_edit-section-209-d2b4c9c9b4,,"Defining Clean-up Actions The try statement has another optional clause which is intended to define clean-up actions that must be executed under all circumstances. For example: >>> try: ... raise KeyboardInterrupt ... finally: ... print('Goodbye, world!') ... Goodbye, world! KeyboardInterrupt Traceback (most recent call last): File ""<stdin>"", line 2, in <module> A finally clause is always executed before leaving the try statement, whether an exception has occurred or not. "
25,control,,How do you create a virtual environment with venv?,"tutorial_edit-section-314-7a7e4d20bb,tutorial_edit-section-216-c6a5a8947b,tutorial_edit-synopsis-96-54649acb99-naive,tutorial_edit-synopsis-96-d2222ceda5",,"Creating Virtual Environments The module used to create and manage virtual environments is called venv. venv will usually install the most recent version of Python that you have available. If you have multiple versions of Python on your system, you can select a specific Python version by running python3 or whichever version you want. To create a virtual environment, decide upon a directory where you want to place it, and run the venv module as a script with the directory path: python3 -m"
