q_id,config,subset,target_chapter,topk_chunk_ids,topk_sections,synopsis_in_topk,recall_at_10,synopsis_recall_at_10
1,H,summarisation,2,"tutorial_edit-chapter-27-eac725afe3,tutorial_edit-chapter-26-ea7475e702,tutorial_edit-section-1-c24f1987f5,tutorial_edit-chapter-323-ed0bbe2649,tutorial_edit-synopsis-101-d9e0d77edd,tutorial_edit-card-8a49cb24c0,tutorial_edit-synopsis-23-3fac4f8c17,tutorial_edit-synopsis-20-165a79646c,tutorial_edit-section-15-99287fea96,tutorial_edit-synopsis-19-111b6e3a4e","chapter,chapter,section,chapter,synopsis,card,synopsis,synopsis,section,synopsis",4,1,1
1,N,summarisation,2,"tutorial_edit-chapter-23-eac725afe3,tutorial_edit-chapter-222-bb1112d506,tutorial_edit-section-1-c24f1987f5,tutorial_edit-synopsis-101-d9e0d77edd-naive,tutorial_edit-synopsis-23-1eaffa3613-naive,tutorial_edit-card-8a49cb24c0,tutorial_edit-synopsis-20-c922f19edf-naive,tutorial_edit-synopsis-19-111b6e3a4e-naive,tutorial_edit-section-15-667276247b,tutorial_edit-section-46-2c56810672","chapter,chapter,section,synopsis,synopsis,card,synopsis,synopsis,section,section",4,1,1
2,H,summarisation,3,"tutorial_edit-synopsis-23-3fac4f8c17,tutorial_edit-chapter-26-ea7475e702,tutorial_edit-section-8-12ba188b71,tutorial_edit-chapter-98-61558d5393,tutorial_edit-synopsis-63-d3eafcadcb,tutorial_edit-section-1-c24f1987f5,tutorial_edit-section-234-7041e73b8f,tutorial_edit-card-8a49cb24c0,tutorial_edit-chapter-268-3727ef8e40,tutorial_edit-synopsis-101-d9e0d77edd","synopsis,chapter,section,chapter,synopsis,section,section,card,chapter,synopsis",3,1,1
2,N,summarisation,3,"tutorial_edit-synopsis-23-1eaffa3613-naive,tutorial_edit-section-8-12ba188b71,tutorial_edit-synopsis-55-d1c855a156-naive,tutorial_edit-chapter-72-61558d5393,tutorial_edit-index-17-39e8996f7b,tutorial_edit-synopsis-76-a2f0acf8f8-naive,tutorial_edit-synopsis-52-1d95241b8a-naive,tutorial_edit-section-1-c24f1987f5,tutorial_edit-card-8a49cb24c0,tutorial_edit-section-163-6d80f0be55","synopsis,section,synopsis,chapter,index,synopsis,synopsis,section,card,section",4,1,1
3,H,summarisation,4,"tutorial_edit-chapter-26-ea7475e702,tutorial_edit-synopsis-28-858d562b51,tutorial_edit-synopsis-23-3fac4f8c17,tutorial_edit-card-8a49cb24c0,tutorial_edit-synopsis-63-d3eafcadcb,tutorial_edit-synopsis-47-6b7f374523,tutorial_edit-synopsis-19-111b6e3a4e,tutorial_edit-chapter-323-ed0bbe2649,tutorial_edit-synopsis-101-d9e0d77edd,tutorial_edit-synopsis-38-79f993d4e7","chapter,synopsis,synopsis,card,synopsis,synopsis,synopsis,chapter,synopsis,synopsis",7,1,1
3,N,summarisation,4,"tutorial_edit-synopsis-23-1eaffa3613-naive,tutorial_edit-card-8a49cb24c0,tutorial_edit-synopsis-28-fa162deff6-naive,tutorial_edit-synopsis-101-d9e0d77edd-naive,tutorial_edit-synopsis-63-f1e11ab608-naive,tutorial_edit-chapter-22-95124ae1cd,tutorial_edit-chapter-222-bb1112d506,tutorial_edit-synopsis-19-111b6e3a4e-naive,tutorial_edit-index-16-c0fbbb8263,tutorial_edit-synopsis-47-dd96efeb87-naive","synopsis,card,synopsis,synopsis,synopsis,chapter,chapter,synopsis,index,synopsis",6,1,1
4,H,summarisation,5,"tutorial_edit-chapter-98-61558d5393,tutorial_edit-synopsis-38-79f993d4e7,tutorial_edit-section-3-33c91800a8,tutorial_edit-section-4-03b37f37b2,tutorial_edit-synopsis-63-d3eafcadcb,tutorial_edit-section-113-f83435b144,tutorial_edit-section-8-12ba188b71,tutorial_edit-section-9-f0d80f9fba,tutorial_edit-section-13-7a42025e88,tutorial_edit-section-54-1c64a0aa9f","chapter,synopsis,section,section,synopsis,section,section,section,section,section",2,1,1
4,N,summarisation,5,"tutorial_edit-synopsis-38-219ce1b27a-naive,tutorial_edit-chapter-72-61558d5393,tutorial_edit-section-3-33c91800a8,tutorial_edit-section-4-03b37f37b2,tutorial_edit-synopsis-76-a2f0acf8f8-naive,tutorial_edit-section-8-12ba188b71,tutorial_edit-section-9-f0d80f9fba,tutorial_edit-section-13-7a42025e88,tutorial_edit-section-210-7585431bc0,tutorial_edit-synopsis-63-f1e11ab608-naive","synopsis,chapter,section,section,synopsis,section,section,section,section,synopsis",3,1,1
5,H,summarisation,6,"tutorial_edit-synopsis-47-6b7f374523,tutorial_edit-synopsis-101-d9e0d77edd,tutorial_edit-chapter-26-ea7475e702,tutorial_edit-card-8a49cb24c0,tutorial_edit-chapter-323-ed0bbe2649,tutorial_edit-synopsis-76-a041572cac,tutorial_edit-synopsis-86-cb10c02edb,tutorial_edit-section-5-4102619fe6,tutorial_edit-chapter-132-e4fcfe463f,tutorial_edit-chapter-27-eac725afe3","synopsis,synopsis,chapter,card,chapter,synopsis,synopsis,section,chapter,chapter",4,1,1
5,N,summarisation,6,"tutorial_edit-synopsis-47-dd96efeb87-naive,tutorial_edit-chapter-222-bb1112d506,tutorial_edit-card-8a49cb24c0,tutorial_edit-synopsis-101-d9e0d77edd-naive,tutorial_edit-synopsis-23-1eaffa3613-naive,tutorial_edit-section-5-4102619fe6,tutorial_edit-chapter-23-eac725afe3,tutorial_edit-glossary-18-4bfdf3b0de,tutorial_edit-section-1-c24f1987f5,tutorial_edit-body-0-e07110dc5a","synopsis,chapter,card,synopsis,synopsis,section,chapter,glossary,section,body",3,1,1
6,H,summarisation,7,"tutorial_edit-chapter-164-8d845789b9,tutorial_edit-synopsis-52-b987d80e04,tutorial_edit-section-5-4102619fe6,tutorial_edit-section-6-78ec3990f2,tutorial_edit-section-484-d1c388fc60,tutorial_edit-section-352-d3037bd5d3,tutorial_edit-section-451-1975d98594,tutorial_edit-section-482-bdacee6355,tutorial_edit-section-12-497c02e7fc,tutorial_edit-section-34-89134476e2","chapter,synopsis,section,section,section,section,section,section,section,section",1,1,1
6,N,summarisation,7,"tutorial_edit-synopsis-52-1d95241b8a-naive,tutorial_edit-chapter-118-8d845789b9,tutorial_edit-section-5-4102619fe6,tutorial_edit-section-6-78ec3990f2,tutorial_edit-synopsis-55-d1c855a156-naive,tutorial_edit-section-326-e59c32350b,tutorial_edit-section-12-497c02e7fc,tutorial_edit-synopsis-76-a2f0acf8f8-naive,tutorial_edit-section-14-792ec450d5,tutorial_edit-chapter-198-e1dc17b425","synopsis,chapter,section,section,synopsis,section,section,synopsis,section,chapter",3,1,1
7,H,summarisation,8,"tutorial_edit-synopsis-55-e9b20aaf15,tutorial_edit-chapter-191-388d9e9e27,tutorial_edit-section-198-ce42cf835d,tutorial_edit-section-6-78ec3990f2,tutorial_edit-section-199-5150f27c26,tutorial_edit-section-196-0c671bba5c,tutorial_edit-section-352-d3037bd5d3,tutorial_edit-section-201-b6b402b3cd,tutorial_edit-section-193-8bfd710663,tutorial_edit-section-206-52bbef25c1","synopsis,chapter,section,section,section,section,section,section,section,section",1,1,1
7,N,summarisation,8,"tutorial_edit-synopsis-55-d1c855a156-naive,tutorial_edit-chapter-135-388d9e9e27,tutorial_edit-section-6-78ec3990f2,tutorial_edit-section-140-9a0d21c154,tutorial_edit-section-139-7d90f0c1fd,tutorial_edit-section-143-29779f2e8d,tutorial_edit-section-137-8913459949,tutorial_edit-section-145-f18647ba9f,tutorial_edit-section-7-715a325740,tutorial_edit-section-142-33829fa5a3","synopsis,chapter,section,section,section,section,section,section,section,section",1,1,1
8,H,summarisation,9,"tutorial_edit-synopsis-63-d3eafcadcb,tutorial_edit-chapter-26-ea7475e702,tutorial_edit-section-8-12ba188b71,tutorial_edit-section-1-c24f1987f5,tutorial_edit-chapter-214-df19d7558f,tutorial_edit-synopsis-101-d9e0d77edd,tutorial_edit-section-7-715a325740,tutorial_edit-chapter-323-ed0bbe2649,tutorial_edit-card-8a49cb24c0,tutorial_edit-section-230-928b6ad472","synopsis,chapter,section,section,chapter,synopsis,section,chapter,card,section",2,1,1
8,N,summarisation,9,"tutorial_edit-synopsis-63-f1e11ab608-naive,tutorial_edit-section-8-12ba188b71,tutorial_edit-section-1-c24f1987f5,tutorial_edit-chapter-150-de137d43d4,tutorial_edit-section-7-715a325740,tutorial_edit-synopsis-101-d9e0d77edd-naive,tutorial_edit-card-8a49cb24c0,tutorial_edit-chapter-222-bb1112d506,tutorial_edit-index-16-c0fbbb8263,tutorial_edit-synopsis-23-1eaffa3613-naive","synopsis,section,section,chapter,section,synopsis,card,chapter,index,synopsis",3,1,1
9,H,summarisation,10,"tutorial_edit-chapter-268-3727ef8e40,tutorial_edit-chapter-287-e1dc17b425,tutorial_edit-synopsis-76-a041572cac,tutorial_edit-section-11-8e18862366,tutorial_edit-section-9-f0d80f9fba,tutorial_edit-section-5-4102619fe6,tutorial_edit-section-286-a7237720d3,tutorial_edit-chapter-323-ed0bbe2649,tutorial_edit-section-13-7a42025e88,tutorial_edit-section-145-ffb6d67619","chapter,chapter,synopsis,section,section,section,section,chapter,section,section",1,1,1
9,N,summarisation,10,"tutorial_edit-chapter-186-3727ef8e40,tutorial_edit-synopsis-76-a2f0acf8f8-naive,tutorial_edit-chapter-198-e1dc17b425,tutorial_edit-section-11-8e18862366,tutorial_edit-synopsis-86-feffaf0026-naive,tutorial_edit-section-9-f0d80f9fba,tutorial_edit-index-17-39e8996f7b,tutorial_edit-section-5-4102619fe6,tutorial_edit-synopsis-101-d9e0d77edd-naive,tutorial_edit-section-13-7a42025e88","chapter,synopsis,chapter,section,synopsis,section,index,section,synopsis,section",3,1,1
10,H,summarisation,11,"tutorial_edit-chapter-287-e1dc17b425,tutorial_edit-chapter-268-3727ef8e40,tutorial_edit-synopsis-86-cb10c02edb,tutorial_edit-section-13-7a42025e88,tutorial_edit-synopsis-76-a041572cac,tutorial_edit-section-11-8e18862366,tutorial_edit-synopsis-101-d9e0d77edd,tutorial_edit-chapter-27-eac725afe3,tutorial_edit-chapter-323-ed0bbe2649,tutorial_edit-section-12-497c02e7fc","chapter,chapter,synopsis,section,synopsis,section,synopsis,chapter,chapter,section",3,1,1
10,N,summarisation,11,"tutorial_edit-chapter-198-e1dc17b425,tutorial_edit-chapter-186-3727ef8e40,tutorial_edit-synopsis-86-feffaf0026-naive,tutorial_edit-synopsis-76-a2f0acf8f8-naive,tutorial_edit-section-13-7a42025e88,tutorial_edit-synopsis-101-d9e0d77edd-naive,tutorial_edit-index-17-39e8996f7b,tutorial_edit-section-11-8e18862366,tutorial_edit-chapter-23-eac725afe3,tutorial_edit-chapter-222-bb1112d506","chapter,chapter,synopsis,synopsis,section,synopsis,index,section,chapter,chapter",3,1,1
11,H,summarisation,12,"tutorial_edit-chapter-311-419aed48df,tutorial_edit-synopsis-96-d2222ceda5,tutorial_edit-section-14-792ec450d5,tutorial_edit-section-13-7a42025e88,tutorial_edit-section-320-6bdf6f1d77,tutorial_edit-section-314-7a7e4d20bb,tutorial_edit-section-5-4102619fe6,tutorial_edit-chapter-287-e1dc17b425,tutorial_edit-index-421-2fbfda5530,tutorial_edit-section-313-bc6c0c4a19","chapter,synopsis,section,section,section,section,section,chapter,index,section",1,1,1
11,N,summarisation,12,"tutorial_edit-chapter-214-419aed48df,tutorial_edit-synopsis-96-54649acb99-naive,tutorial_edit-section-14-792ec450d5,tutorial_edit-section-13-7a42025e88,tutorial_edit-section-220-fb06421d2e,tutorial_edit-section-216-c6a5a8947b,tutorial_edit-section-5-4102619fe6,tutorial_edit-chapter-198-e1dc17b425,tutorial_edit-synopsis-52-1d95241b8a-naive,tutorial_edit-chapter-72-61558d5393","chapter,synopsis,section,section,section,section,section,chapter,synopsis,chapter",2,1,1
12,H,summarisation,15,"tutorial_edit-synopsis-105-5339afff82,tutorial_edit-chapter-332-737edcbeea,tutorial_edit-section-309-dfbf43d8ad,tutorial_edit-section-40-1911310dbb,tutorial_edit-section-307-6f21ffddb8,tutorial_edit-synopsis-23-3fac4f8c17,tutorial_edit-section-348-ef7beb3d20,tutorial_edit-section-310-ecb6fb789b,tutorial_edit-section-345-74d47a22c0,tutorial_edit-section-340-20f2e0442b","synopsis,chapter,section,section,section,synopsis,section,section,section,section",2,1,1
12,N,summarisation,15,"tutorial_edit-synopsis-105-70f6d0927d-naive,tutorial_edit-chapter-228-737edcbeea,tutorial_edit-section-213-935ce2cf92,tutorial_edit-section-212-66a77e3eb0,tutorial_edit-section-240-87a91dd9d3,tutorial_edit-section-32-a6f5f94aa6,tutorial_edit-section-238-349b67d41b,tutorial_edit-section-229-9050672f05,tutorial_edit-section-234-8e0ebf6695,tutorial_edit-section-235-586c900f57","synopsis,chapter,section,section,section,section,section,section,section,section",1,1,1
13,H,summarisation,16,"tutorial_edit-appendix-351-6189464345,tutorial_edit-appendix-358-48f0926c87,tutorial_edit-chapter-98-61558d5393,tutorial_edit-appendix-485-1a90610306,tutorial_edit-synopsis-101-d9e0d77edd,tutorial_edit-glossary-19-4bfdf3b0de,tutorial_edit-chapter-324-3dc647ab6b,tutorial_edit-chapter-350-1be366cde9,tutorial_edit-chapter-268-3727ef8e40,tutorial_edit-synopsis-76-a041572cac","appendix,appendix,chapter,appendix,synopsis,glossary,chapter,chapter,chapter,synopsis",2,1,1
13,N,summarisation,16,"tutorial_edit-appendix-242-6189464345,tutorial_edit-appendix-247-48f0926c87,tutorial_edit-chapter-72-61558d5393,tutorial_edit-appendix-328-1a90610306,tutorial_edit-chapter-222-bb1112d506,tutorial_edit-glossary-18-4bfdf3b0de,tutorial_edit-synopsis-76-a2f0acf8f8-naive,tutorial_edit-synopsis-55-d1c855a156-naive,tutorial_edit-chapter-241-1be366cde9,tutorial_edit-synopsis-23-1eaffa3613-naive","appendix,appendix,chapter,appendix,chapter,glossary,synopsis,synopsis,chapter,synopsis",3,1,0
14,H,summarisation,1,"tutorial_edit-chapter-26-ea7475e702,tutorial_edit-synopsis-19-111b6e3a4e,tutorial_edit-synopsis-101-d9e0d77edd,tutorial_edit-section-1-c24f1987f5,tutorial_edit-chapter-323-ed0bbe2649,tutorial_edit-chapter-27-eac725afe3,tutorial_edit-card-8a49cb24c0,tutorial_edit-chapter-25-9b30edfce9,tutorial_edit-chapter-20-b2b98983f5,tutorial_edit-synopsis-23-3fac4f8c17","chapter,synopsis,synopsis,section,chapter,chapter,card,chapter,chapter,synopsis",3,1,1
14,N,summarisation,1,"tutorial_edit-synopsis-19-111b6e3a4e-naive,tutorial_edit-chapter-19-5ebb4df36e,tutorial_edit-chapter-22-95124ae1cd,tutorial_edit-synopsis-101-d9e0d77edd-naive,tutorial_edit-chapter-222-bb1112d506,tutorial_edit-section-1-c24f1987f5,tutorial_edit-synopsis-23-1eaffa3613-naive,tutorial_edit-chapter-23-eac725afe3,tutorial_edit-card-8a49cb24c0,tutorial_edit-index-16-c0fbbb8263","synopsis,chapter,chapter,synopsis,chapter,section,synopsis,chapter,card,index",3,1,1
15,H,summarisation,13,"tutorial_edit-section-444-19dc7d021b,tutorial_edit-section-448-c7ad1a0e05,tutorial_edit-section-475-57aa3a2ae5,tutorial_edit-section-478-e2e7c82370,tutorial_edit-synopsis-101-d9e0d77edd,tutorial_edit-section-463-f25882b35f,tutorial_edit-section-460-7d94da8707,tutorial_edit-section-16-75c44a20d5,tutorial_edit-section-484-d1c388fc60,tutorial_edit-chapter-323-ed0bbe2649","section,section,section,section,synopsis,section,section,section,section,chapter",1,1,1
15,N,summarisation,13,"tutorial_edit-section-302-fe91996b29,tutorial_edit-synopsis-101-d9e0d77edd-naive,tutorial_edit-chapter-222-bb1112d506,tutorial_edit-chapter-198-e1dc17b425,tutorial_edit-synopsis-86-feffaf0026-naive,tutorial_edit-section-300-02124fb148,tutorial_edit-section-311-113fefd7dd,tutorial_edit-section-323-fe35efdc47,tutorial_edit-index-17-39e8996f7b,tutorial_edit-section-327-5a3089fa3d","section,synopsis,chapter,chapter,synopsis,section,section,section,index,section",2,1,0
16,H,control,,"tutorial_edit-section-79-598e099f11,tutorial_edit-section-81-0314028b92,tutorial_edit-section-80-c2331261c3,tutorial_edit-index-406-5cfa8881b0,tutorial_edit-section-84-3340ae1536,tutorial_edit-section-260-672458afb6,tutorial_edit-section-88-80c0406342,tutorial_edit-index-405-3f420f1e0b,tutorial_edit-section-85-d0f463a8e6,tutorial_edit-section-94-a8943c68a2","section,section,section,index,section,section,section,index,section,section",0,1,
16,N,control,,"tutorial_edit-section-61-0ad7d0c838,tutorial_edit-section-60-09ee11386e,tutorial_edit-section-63-a987906f0c,tutorial_edit-index-277-cf9bfb1c90,tutorial_edit-section-66-36d72822a0,tutorial_edit-references-57-887bd60387,tutorial_edit-section-69-97b316e297,tutorial_edit-glossary-270-b5212137fa,tutorial_edit-section-55-44ce2f615a,tutorial_edit-section-64-8fd1ebd709","section,section,section,index,section,references,section,glossary,section,section",0,0,
17,H,control,,"tutorial_edit-section-106-c3c9ed82cc,tutorial_edit-section-109-35bc586fc5,tutorial_edit-section-110-4edc2ea781,tutorial_edit-section-108-85a3f9c391,tutorial_edit-glossary-396-c46e8251d3,tutorial_edit-section-105-599c15f9a1,tutorial_edit-synopsis-38-79f993d4e7,tutorial_edit-section-107-0f5c808c38,tutorial_edit-section-53-6246963d87,tutorial_edit-section-54-1c64a0aa9f","section,section,section,section,glossary,section,synopsis,section,section,section",1,1,
17,N,control,,"tutorial_edit-section-79-1eb65a56dc,tutorial_edit-section-77-9cce87ca0c,tutorial_edit-section-41-f3e32261ac,tutorial_edit-section-78-b25cd75955,tutorial_edit-section-80-25fc10869e,tutorial_edit-section-82-523034a7a2,tutorial_edit-section-86-69c6074065,tutorial_edit-glossary-271-0b182b5664,tutorial_edit-section-73-b242b7569c,tutorial_edit-section-46-2c56810672","section,section,section,section,section,section,section,glossary,section,section",0,0,
18,H,control,,"tutorial_edit-section-204-85f6bd8161,tutorial_edit-section-205-1fff0f15bc,tutorial_edit-section-200-fece6af0ce,tutorial_edit-section-206-52bbef25c1,tutorial_edit-section-199-5150f27c26,tutorial_edit-section-201-b6b402b3cd,tutorial_edit-section-202-3d66b6076c,tutorial_edit-section-198-ce42cf835d,tutorial_edit-section-208-750721f29c,tutorial_edit-section-196-0c671bba5c","section,section,section,section,section,section,section,section,section,section",0,1,
18,N,control,,"tutorial_edit-section-144-64dc7da696,tutorial_edit-section-142-33829fa5a3,tutorial_edit-section-145-f18647ba9f,tutorial_edit-section-141-94469ca47e,tutorial_edit-section-143-29779f2e8d,tutorial_edit-section-140-9a0d21c154,tutorial_edit-section-139-7d90f0c1fd,tutorial_edit-section-6-78ec3990f2,tutorial_edit-section-137-8913459949,tutorial_edit-section-138-09bd159507","section,section,section,section,section,section,section,section,section,section",0,1,
19,H,control,,"tutorial_edit-section-58-3c4656e5d6,tutorial_edit-section-107-0f5c808c38,tutorial_edit-section-126-bc409df9ab,tutorial_edit-section-62-428da458c2,tutorial_edit-section-128-9b0c4a8838,tutorial_edit-section-106-c3c9ed82cc,tutorial_edit-glossary-377-cac8e75006,tutorial_edit-section-44-d0b672bed4,tutorial_edit-section-63-03ddb41774,tutorial_edit-synopsis-28-858d562b51","section,section,section,section,section,section,glossary,section,section,synopsis",1,1,
19,N,control,,"tutorial_edit-section-48-428da458c2,tutorial_edit-section-92-a6efab8b14,tutorial_edit-section-44-98610683bb,tutorial_edit-section-78-b25cd75955,tutorial_edit-section-45-7ca5f718ec,tutorial_edit-section-93-c3d8a6cfd7,tutorial_edit-section-49-442c058d38,tutorial_edit-section-77-9cce87ca0c,tutorial_edit-index-283-685aa891db,tutorial_edit-section-82-523034a7a2","section,section,section,section,section,section,section,section,index,section",0,0,
20,H,control,,"tutorial_edit-section-137-92a429f750,tutorial_edit-section-156-de0fc1feb4,tutorial_edit-section-136-343a69fd91,tutorial_edit-chapter-132-e4fcfe463f,tutorial_edit-synopsis-47-6b7f374523,tutorial_edit-section-157-160936ae3c,tutorial_edit-section-162-df437bccdb,tutorial_edit-section-158-ad1a93c4ae,tutorial_edit-section-138-5f3cc51e09,tutorial_edit-section-135-4d33b7829a","section,section,section,chapter,synopsis,section,section,section,section,section",1,1,
20,N,control,,"tutorial_edit-section-100-bfa9a44774,tutorial_edit-section-113-6359ec9f6e,tutorial_edit-section-99-7cf4ba1583,tutorial_edit-synopsis-47-dd96efeb87-naive,tutorial_edit-section-98-ef83760944,tutorial_edit-section-117-fe3c27d8cc,tutorial_edit-section-115-b8b3df3f50,tutorial_edit-section-116-20e2f97ad2,tutorial_edit-chapter-97-263fb9196e,tutorial_edit-chapter-96-439e70806d","section,section,section,synopsis,section,section,section,section,chapter,chapter",1,0,
21,H,control,,"tutorial_edit-section-45-23cc549b18,tutorial_edit-section-46-b4e6a2a0f0,tutorial_edit-section-183-7d3bba9387,tutorial_edit-section-60-192b00ad39,tutorial_edit-section-82-5d46fb026a,tutorial_edit-section-262-fd7f7276e5,tutorial_edit-section-66-8f94956f7f,tutorial_edit-section-58-3c4656e5d6,tutorial_edit-section-2-e8ad2c3287,tutorial_edit-section-59-104582cd2c","section,section,section,section,section,section,section,section,section,section",0,1,
21,N,control,,"tutorial_edit-section-46-2c56810672,tutorial_edit-section-36-b8fee48748,tutorial_edit-section-130-8d17d222ca,tutorial_edit-section-53-b7bd8f9b3b,tutorial_edit-references-59-fa34a2eef1,tutorial_edit-section-181-9fe909f189,tutorial_edit-section-2-e8ad2c3287,tutorial_edit-section-128-054d858bbb,tutorial_edit-section-129-8daa10b1ed,tutorial_edit-section-64-8fd1ebd709","section,section,section,section,references,section,section,section,section,section",0,0,
22,H,control,,"tutorial_edit-section-183-7d3bba9387,tutorial_edit-chapter-27-eac725afe3,tutorial_edit-section-184-2b1c74a3d0,tutorial_edit-section-182-292e0050c4,tutorial_edit-section-181-ffe48efe4f,tutorial_edit-section-178-51f6aa3d17,tutorial_edit-section-185-4b405fa4da,tutorial_edit-section-261-6d65860780,tutorial_edit-section-296-a70a2cdeee,tutorial_edit-section-186-09793481ed","section,chapter,section,section,section,section,section,section,section,section",0,1,
22,N,control,,"tutorial_edit-section-130-8d17d222ca,tutorial_edit-chapter-23-eac725afe3,tutorial_edit-section-129-8daa10b1ed,tutorial_edit-section-128-054d858bbb,tutorial_edit-section-127-b72f995768,tutorial_edit-section-132-0560e5ed6d,tutorial_edit-section-6-78ec3990f2,tutorial_edit-section-29-b3d0ca04ec,tutorial_edit-synopsis-19-111b6e3a4e-naive,tutorial_edit-section-46-2c56810672","section,chapter,section,section,section,section,section,section,synopsis,section",1,1,
23,H,control,,"tutorial_edit-section-245-3c6194b6fa,tutorial_edit-section-246-ec63254e34,tutorial_edit-glossary-398-9ec291d2ab,tutorial_edit-references-240-e7ea28f1b5,tutorial_edit-section-260-672458afb6,tutorial_edit-section-232-e18319b570,tutorial_edit-references-238-1c410cf38e,tutorial_edit-synopsis-63-d3eafcadcb,tutorial_edit-references-77-277fe6f77a,tutorial_edit-section-247-2c0bcf55e8","section,section,glossary,references,section,section,references,synopsis,references,section",1,1,
23,N,control,,"tutorial_edit-section-171-d289ec6574,tutorial_edit-section-172-29953003f0,tutorial_edit-section-179-e5b8b060aa,tutorial_edit-references-166-ff59709ac7,tutorial_edit-synopsis-63-f1e11ab608-naive,tutorial_edit-section-161-4d0de725b0,tutorial_edit-glossary-257-1fd9dd8b1f,tutorial_edit-section-162-434d412322,tutorial_edit-section-180-38b302e7c7,tutorial_edit-references-167-2dc362381b","section,section,section,references,synopsis,section,glossary,section,section,references",1,0,
24,H,control,,"tutorial_edit-section-209-d2b4c9c9b4,tutorial_edit-section-197-2a673ee8d8,tutorial_edit-section-211-c1984c92e2,tutorial_edit-section-196-0c671bba5c,tutorial_edit-section-201-b6b402b3cd,tutorial_edit-section-200-fece6af0ce,tutorial_edit-section-199-5150f27c26,tutorial_edit-section-198-ce42cf835d,tutorial_edit-section-203-37b6580453,tutorial_edit-section-202-3d66b6076c","section,section,section,section,section,section,section,section,section,section",0,1,
24,N,control,,"tutorial_edit-section-147-7fb41b3220,tutorial_edit-section-139-7d90f0c1fd,tutorial_edit-section-141-94469ca47e,tutorial_edit-section-140-9a0d21c154,tutorial_edit-section-148-8175dab1b5,tutorial_edit-section-53-b7bd8f9b3b,tutorial_edit-section-142-33829fa5a3,tutorial_edit-section-143-29779f2e8d,tutorial_edit-section-6-78ec3990f2,tutorial_edit-section-243-e024b78c05","section,section,section,section,section,section,section,section,section,section",0,0,
25,H,control,,"tutorial_edit-section-314-7a7e4d20bb,tutorial_edit-synopsis-96-d2222ceda5,tutorial_edit-section-315-a9ea5a9810,tutorial_edit-chapter-311-419aed48df,tutorial_edit-index-421-2fbfda5530,tutorial_edit-section-14-792ec450d5,tutorial_edit-section-320-6bdf6f1d77,tutorial_edit-section-313-bc6c0c4a19,tutorial_edit-section-321-b538a19b0d,tutorial_edit-section-319-91e2ea0a4a","section,synopsis,section,chapter,index,section,section,section,section,section",1,1,
25,N,control,,"tutorial_edit-section-216-c6a5a8947b,tutorial_edit-synopsis-96-54649acb99-naive,tutorial_edit-chapter-214-419aed48df,tutorial_edit-section-14-792ec450d5,tutorial_edit-section-220-fb06421d2e,tutorial_edit-section-217-111a211679,tutorial_edit-section-221-eb33a5ef99,tutorial_edit-index-286-b376b22711,tutorial_edit-section-219-4ddf988bbc,tutorial_edit-section-218-a4a3efbd0a","section,synopsis,chapter,section,section,section,section,index,section,section",1,1,
